Run 1: Good Detections = 5, False Alarms = 0, Missed Detections = 2
Run 2: Good Detections = 6, False Alarms = 0, Missed Detections = 1
Run 3: Good Detections = 6, False Alarms = 0, Missed Detections = 2
Run 4: Good Detections = 7, False Alarms = 0, Missed Detections = 3
Run 5: Good Detections = 6, False Alarms = 0, Missed Detections = 2
Run 6: Good Detections = 4, False Alarms = 1, Missed Detections = 4
Run 7: Good Detections = 9, False Alarms = 1, Missed Detections = 2
Run 8: Good Detections = 6, False Alarms = 0, Missed Detections = 3
Run 9: Good Detections = 1, False Alarms = 1, Missed Detections = 6
Run 10: Good Detections = 2, False Alarms = 1, Missed Detections = 5
Run 11: Good Detections = 3, False Alarms = 0, Missed Detections = 5
Run 12: Good Detections = 0, False Alarms = 0, Missed Detections = 6
Run 13: Good Detections = 4, False Alarms = 0, Missed Detections = 5
Run 14: Good Detections = 3, False Alarms = 0, Missed Detections = 4
Run 15: Good Detections = 4, False Alarms = 1, Missed Detections = 7
Run 16: Good Detections = 6, False Alarms = 0, Missed Detections = 3
Run 17: Good Detections = 4, False Alarms = 0, Missed Detections = 6
Run 18: Good Detections = 5, False Alarms = 0, Missed Detections = 6
Run 19: Good Detections = 3, False Alarms = 0, Missed Detections = 5
Run 20: Good Detections = 5, False Alarms = 1, Missed Detections = 5
Run 21: Good Detections = 4, False Alarms = 0, Missed Detections = 3
Run 22: Good Detections = 6, False Alarms = 0, Missed Detections = 3
Run 23: Good Detections = 6, False Alarms = 0, Missed Detections = 3
Run 24: Good Detections = 5, False Alarms = 0, Missed Detections = 3
Run 25: Good Detections = 10, False Alarms = 0, Missed Detections = 1
Run 26: Good Detections = 5, False Alarms = 0, Missed Detections = 3
Run 27: Good Detections = 4, False Alarms = 0, Missed Detections = 3
Run 28: Good Detections = 6, False Alarms = 0, Missed Detections = 3
Run 29: Good Detections = 9, False Alarms = 1, Missed Detections = 1
Run 30: Good Detections = 4, False Alarms = 0, Missed Detections = 3
Run 31: Good Detections = 3, False Alarms = 0, Missed Detections = 4
Run 32: Good Detections = 4, False Alarms = 0, Missed Detections = 2
Run 33: Good Detections = 6, False Alarms = 0, Missed Detections = 6
Run 34: Good Detections = 3, False Alarms = 0, Missed Detections = 3
Run 35: Good Detections = 5, False Alarms = 1, Missed Detections = 4
Run 36: Good Detections = 8, False Alarms = 0, Missed Detections = 3
Run 37: Good Detections = 4, False Alarms = 0, Missed Detections = 6
Run 38: Good Detections = 6, False Alarms = 0, Missed Detections = 6
Run 39: Good Detections = 5, False Alarms = 0, Missed Detections = 6
Run 40: Good Detections = 5, False Alarms = 1, Missed Detections = 5 
